accession	description
CAUYNE010000000	Eulemur albifrons genome assembly
CAUYLE010000000	Cacajao ayresi isolate INPA5247 genome assembly
CAUYLF010000000	Cacajao hosomi isolate MN68611 genome assembly
CAUYLG010000000	Cacajao melanocephalus isolate CCM017 genome assembly
CAUYLL010000000	Cacajao calvus isolate Masto283 genome assembly
CAUYLM010000000	Chiropotes israelita isolate JPB131 genome assembly
CAUYLW010000000	Varecia rubra genome assembly
CAUYLY010000000	Ateles paniscus isolate TRO682 genome assembly
CAUYLZ010000000	Pithecia hirsuta isolate FES29 genome assembly
CAUYMA010000000	Ateles belzebuth isolate JPB105 genome assembly
CAUYMB010000000	Plecturocebus cinerascens isolate UFRO.M.195 genome assembly
CAUYMC010000000	Pithecia vanzolinii isolate FES57 genome assembly
CAUYMD010000000	Cheracebus lucifer isolate FES41 genome assembly
CAUYME010000000	Ateles marginatus isolate INPA667 genome assembly
CAUYMF010000000	Pithecia albicans isolate PUR204 genome assembly
CAUYML010000000	Mirza zaza genome assembly
CAUYMN010000000	Lepilemur ankaranensis genome assembly
CAUYMO010000000	Plecturocebus brunneus isolate UFRO.M.327 genome assembly
CAUYMP010000000	Eulemur sanfordi genome assembly
CAUYMR010000000	Aotus azarai genome assembly
CAUYMX010000000	Lepilemur septentrionalis genome assembly
CAUYMY010000000	Aotus vociferans isolate JAP759 genome assembly
CAUYMZ010000000	Papio papio genome assembly
CAUYNA010000000	Eulemur fulvus genome assembly
CAUYNB010000000	Lagothrix lagotricha isolate FES94 genome assembly
CAUYNC010000000	Plecturocebus moloch isolate TAP351 genome assembly
CAUYND010000000	Miopithecus ogouensis genome assembly
CAUYNF010000000	Nomascus siki genome assembly
CAUYNG010000000	Cercocebus chrysogaster genome assembly
CAUYNH010000000	Ateles geoffroyi isolate KSTR5A genome assembly
CAUYNI010000000	Alouatta palliata isolate KSTR199 genome assembly
CAUYNJ010000000	Macaca tonkeana strain pet animal genome assembly
CAUYNK010000000	Saimiri sciureus isolate TRO588 genome assembly
CAUYNL010000000	Macaca arctoides genome assembly
CAUYNM010000000	Macaca nigra strain pet animal genome assembly
CAUYNN010000000	Chiropotes chiropotes sagulata isolate TRO582 genome assembly
CAUYNO010000000	Macaca radiata genome assembly
CAUYNP010000000	Trachypithecus laotum genome assembly
CAUYNQ010000000	Semnopithecus hypoleucos genome assembly
CAUYNR010000000	Mico argentatus isolate RVR40 genome assembly
CAUYNS010000000	Alouatta seniculus isolate JPB162 genome assembly
CAUYNT010000000	Cercopithecus roloway genome assembly
CAUYNU010000000	Macaca leonina genome assembly
CAUYNV010000000	Trachypithecus geei genome assembly
CAUYNW010000000	Pygathrix cinerea genome assembly
CAUYNX010000000	Hylobates muelleri genome assembly
CAUYNY010000000	Mico argentatus genome assembly
CAUYNZ010000000	Papio kindae genome assembly
CAUYOA010000000	Pygathrix nigripes genome assembly
CAUYOB010000000	Saimiri ustus isolate FES22 genome assembly
CAUYOC010000000	Propithecus tattersalli genome assembly
CAUYOD010000000	Saimiri cassiquiarensis isolate JPB71 genome assembly
CAUYOE010000000	Alouatta macconnelli isolate JPB129 genome assembly
CAUYOF010000000	Trachypithecus hatinhensis genome assembly
CAUYOG010000000	Trachypithecus cristatus genome assembly
CAUYOH010000000	Trachypithecus germaini genome assembly
