alnpos	freqnongap	info(bits)	ref_nt	info_rolling	freqnongap_rolling
1	1.0	1.64664066	1		
2	1.0	0.7270944	2		
3	1.0	0.46708544	3		
4	1.0	1.30015716	4		
5	0.73333333	1.31596156	5		
6	0.73333333	1.15464906	6		
7	1.0	1.16335926	7		
8	1.0	1.16335926	8		
9	1.0	1.64664066	9		
10	1.0	1.64664066	10		
11	1.0	1.43349049	11	1.1546217723809524	0.8634920623809524
12	1.0	0.9610794	12	1.0794048571428572	0.8634920623809524
13	1.0	1.43349049	13	1.1400194095238096	0.8634920623809524
14	1.0	1.27807191	14	1.165549072857143	0.8634920623809524
15	0.73333333	1.15464906	15	1.1655490728571427	0.8634920623809524
16	0.73333333	0.6514121	16	1.1981223319047618	0.8761904752380952
17	0.73333333	0.90420474	17	1.1777625861904764	0.8888888880952381
18	0.73333333	1.31596156	18	1.1744794185714287	0.8888888880952381
19	0.73333333	2.0	19	1.2143194538095239	0.8888888880952381
20	0.4	0.54085208	20	1.2143194538095239	0.8888888880952381
21	0.6	0.34225727	21	1.1816736795238096	0.8888888880952381
22	1.0	0.06708544	22	1.1585083428571428	0.8888888880952381
23	1.0	2.0	23	1.1578387723809525	0.8888888880952381
24	1.0	1.00320837	24	1.1461831242857141	0.8539682533333333
25	1.0	1.30015716	25	1.1050862476190477	0.8158730152380952
26	1.0	2.0	26	1.1453410542857143	0.8285714280952382
27	1.0	0.7270944	27	1.1414893685714287	0.841269840952381
28	1.0	1.09441274	28	1.1191178938095239	0.8539682538095238
29	1.0	2.0	29	1.1183653033333332	0.8666666666666666
30	1.0	1.64664066	30	1.0888709133333332	0.8730158733333333
31	1.0	0.9610794	31	1.1406764176190476	0.8984126985714286
32	1.0	0.94701842	32	1.2019388176190475	0.9142857142857143
33	1.0	0.94701842	33	1.219855858095238	0.911111110952381
34	0.26666667	1.18872188	34	1.1337034757142856	0.9079365076190475
35	0.2	0.4150375	35	1.1634920138095237	0.9047619042857142
36	1.0	2.0	36	1.1791401333333336	0.9015873009523809
37	1.0	0.5705267	37	1.1614624033333332	0.8984126976190476
38	1.0	0.43440377	38	1.1863819433333334	0.8952380942857142
39	1.0	1.30015716	39	1.1776370471428572	0.8920634909523809
40	0.86666667	1.38061781	40	1.1026647885714287	0.8888888876190476
41	0.93333333	1.62876767	41	1.0913165295238096	0.8857142842857142
42	0.93333333	1.62876767	42	1.0860825176190476	0.8825396809523809
43	0.93333333	0.44334329	43	1.0745180028571428	0.8793650776190476
44	0.93333333	0.19079997	44	1.062953488095238	0.8761904742857143
45	0.93333333	1.62876767	45	1.0320388900000002	0.9047619028571429
46	0.93333333	1.62876767	46	1.0805366514285715	0.942857140952381
47	0.93333333	1.62876767	47	1.0805366514285715	0.942857140952381
48	0.93333333	1.25040474	48	1.1486068085714285	0.942857140952381
49	0.93333333	0.91076992	49	1.17301703	0.942857140952381
50	0.93333333	0.42558257	50	1.163219676666667	0.942857140952381
51	0.93333333	1.40832722	51	1.149590863809524	0.9492063471428571
52	0.93333333	0.85116515	52	1.1402919504761906	0.9523809504761905
53	0.93333333	0.70416361	53	1.1579696804761905	0.9555555538095238
54	0.93333333	0.70416361	54	1.2320961904761905	0.9587301571428571
55	0.86666667	0.53951532	55	1.3014219376190477	0.9619047604761904
56	1.0	1.43349049	56	1.3022730323809524	0.9650793638095239
57	1.0	2.0	57	1.286624912857143	0.9682539671428572
58	1.0	2.0	58	1.2592372647619048	0.9682539671428572
59	1.0	0.94701842	59	1.2949322771428573	0.9714285704761905
60	1.0	1.09441274	60	1.329973740952381	0.9746031738095239
61	1.0	1.09441274	61	1.37162015	0.9777777771428572
62	1.0	1.43349049	62	1.372818400952381	0.9809523804761905
63	1.0	2.0	63	1.362241460952381	0.9841269838095238
64	1.0	2.0	64	1.4071213204761905	0.9873015871428572
65	1.0	1.64664066	65	1.4688278152380954	0.9904761904761905
66	1.0	1.64664066	66	1.5113980614285716	0.9968253966666667
67	1.0	1.30015716	67	1.4985346695238095	0.9968253966666667
68	0.93333333	1.05362706	68	1.46520882	0.9968253966666667
69	1.0	2.0	69	1.4382321766666668	0.9968253966666667
70	1.0	1.64664066	70	1.444645783809524	0.9968253966666667
