# Information content per column (bits):
# Alignment file: ../Data_input/Bioinformatics_Pipeline/Step_5_Clustering/Full_MSA_clustered95/HOTAIR_full_MSA_clustered95_aligned.aln
# Alignment idx:  1
# Number of sequences: 27
# Sequence weights from alignment were ignored (if they existed).
#
#  alnpos  freqnongap  info(bits)
# -------  ----------  ----------
        1  0.88888889  1.75011771
        2  0.96296296  1.60875644
        3  0.96296296  1.48405307
        4  0.96296296  1.37809586
        5  0.96296296  1.10700464
        6  0.96296296  2.00000000
        7  0.96296296  1.60875644
        8  0.96296296  1.76480662
        9  0.96296296  2.00000000
       10  0.96296296  2.00000000
       11  0.96296296  0.80437822
       12  0.96296296  1.06941387
       13  0.96296296  1.76480662
       14  0.96296296  2.00000000
       15  0.96296296  2.00000000
       16  0.03703704  2.00000000
       17  0.96296296  2.00000000
       18  0.96296296  2.00000000
       19  0.96296296  1.76480662
       20  0.96296296  0.89438760
       21  0.96296296  2.00000000
       22  0.96296296  2.00000000
       23  0.96296296  2.00000000
       24  0.96296296  2.00000000
       25  0.11111111  2.00000000
       26  0.11111111  2.00000000
       27  0.11111111  2.00000000
       28  0.11111111  2.00000000
       29  0.11111111  2.00000000
       30  0.96296296  2.00000000
       31  0.96296296  1.00427255
       32  0.96296296  2.00000000
       33  0.96296296  2.00000000
       34  0.96296296  1.60875644
       35  0.96296296  1.29372591
       36  0.96296296  2.00000000
       37  0.96296296  2.00000000
       38  0.96296296  2.00000000
       39  0.96296296  2.00000000
       40  0.96296296  1.60875644
       41  0.96296296  2.00000000
       42  0.96296296  1.10950836
       43  0.96296296  2.00000000
       44  0.96296296  2.00000000
       45  0.96296296  2.00000000
       46  0.96296296  2.00000000
       47  0.96296296  1.60875644
       48  0.96296296  1.76480662
       49  0.96296296  1.76480662
       50  0.96296296  1.76480662
       51  0.96296296  1.01714131
       52  0.96296296  2.00000000
       53  0.96296296  2.00000000
       54  0.96296296  2.00000000
       55  0.96296296  2.00000000
       56  0.96296296  1.37809586
       57  0.40740741  2.00000000
       58  0.96296296  0.89520906
       59  0.96296296  2.00000000
       60  0.96296296  2.00000000
       61  0.96296296  1.53183336
       62  0.96296296  0.49796472
       63  0.96296296  1.60875644
       64  0.96296296  1.48405307
       65  0.96296296  2.00000000
       66  0.96296296  1.48405307
       67  1.00000000  1.77146186
       68  1.00000000  1.54497934
       69  1.00000000  1.49674167
       70  1.00000000  2.00000000
       71  1.00000000  2.00000000
       72  1.00000000  1.49674167
       73  1.00000000  1.77146186
       74  1.00000000  2.00000000
       75  0.07407407  2.00000000
       76  1.00000000  1.77146186
       77  1.00000000  1.02488094
       78  0.96296296  2.00000000
       79  0.96296296  2.00000000
       80  0.96296296  2.00000000
       81  0.96296296  1.48405307
       82  0.96296296  2.00000000
       83  0.96296296  1.53183336
       84  0.96296296  1.29372591
       85  0.96296296  2.00000000
       86  0.96296296  1.76480662
       87  0.96296296  1.60875644
       88  0.96296296  1.38061781
       89  0.96296296  2.00000000
       90  0.96296296  1.10950836
       91  1.00000000  2.00000000
       92  1.00000000  2.00000000
       93  1.00000000  2.00000000
       94  1.00000000  2.00000000
       95  1.00000000  2.00000000
       96  1.00000000  2.00000000
       97  1.00000000  1.24666528
       98  1.00000000  1.39481342
       99  1.00000000  1.77146186
      100  1.00000000  2.00000000
      101  1.00000000  1.77146186
      102  1.00000000  1.00098973
      103  1.00000000  1.77146186
      104  1.00000000  2.00000000
      105  1.00000000  1.61905341
      106  1.00000000  1.49674167
      107  1.00000000  2.00000000
      108  1.00000000  0.80849889
      109  1.00000000  1.49674167
      110  1.00000000  2.00000000
      111  1.00000000  2.00000000
      112  0.92592593  2.00000000
      113  0.92592593  2.00000000
      114  0.92592593  0.56037246
      115  0.92592593  1.36044363
      116  0.92592593  0.48385234
      117  0.92592593  2.00000000
      118  0.92592593  1.14454919
