# Information content per column (bits):
# Alignment file: Data_input/Bioinformatics_Pipeline/Step_1_Genome_Searches/1.1_Full-length_Search/HOTAIR_MSA_191.aln
# Alignment idx:  1
# Number of sequences: 191
# Sequence weights from alignment were ignored (if they existed).
#
#  alnpos  freqnongap  info(bits)
# -------  ----------  ----------
        1  0.00523560  2.00000000
        2  0.00523560  2.00000000
        3  0.00523560  2.00000000
        4  0.00523560  2.00000000
        5  0.00523560  2.00000000
        6  0.01047120  1.00000000
        7  0.01047120  1.00000000
        8  0.01047120  1.00000000
        9  0.01047120  1.00000000
       10  0.01047120  1.00000000
       11  0.01047120  2.00000000
       12  0.01047120  1.00000000
       13  0.01047120  1.00000000
       14  0.01570681  2.00000000
       15  0.01570681  2.00000000
       16  0.01570681  1.08170417
       17  0.03141361  0.74837083
       18  0.03664921  1.40832722
       19  0.04188482  0.25000000
       20  0.04712042  1.01357327
       21  0.06282723  0.44890183
       22  0.06282723  1.58618315
       23  0.06806283  0.51147471
       24  0.06806283  0.85988432
       25  0.06806283  0.66532086
       26  0.06806283  0.66532086
       27  0.07853403  0.84106147
       28  0.08900524  1.47744063
       29  0.10994764  1.29753345
       30  0.12565445  1.21476456
       31  0.14659686  1.19404151
       32  0.14659686  0.71294597
       33  0.15706806  1.43349049
       34  0.16230366  1.34054079
       35  0.16753927  1.46504528
       36  0.18324607  1.26961999
       37  0.18848168  1.19692827
       38  0.19895288  1.20180566
       39  0.20942408  1.83133907
       40  0.20942408  1.25241532
       41  0.21465969  1.26500667
       42  0.21465969  1.26500667
       43  0.21465969  1.37701629
       44  0.22513089  1.35905582
       45  0.23036649  1.40717489
       46  0.23036649  1.23055509
       47  0.04188482  1.18872188
       48  0.04712042  0.77560555
       49  0.04712042  0.46950694
       50  0.04712042  0.16340833
       51  0.04712042  1.00892394
       52  0.04712042  0.46950694
       53  0.04712042  0.60785278
       54  0.04712042  0.60785278
       55  0.23560209  1.28439180
       56  0.24083770  1.74198133
       57  0.24607330  1.30470687
       58  0.24607330  1.65753623
       59  0.24607330  1.74612156
       60  0.24607330  1.58007890
       61  0.24607330  1.59892160
       62  0.24607330  1.36524560
       63  0.24607330  1.59892160
       64  0.24607330  1.33178630
       65  0.24607330  1.51109141
       66  0.24607330  2.00000000
       67  0.24607330  1.44901556
       68  0.24607330  1.59892160
       69  0.24607330  1.33178630
       70  0.24607330  1.40779879
       71  0.20418848  1.52292869
       72  0.24607330  1.40779879
       73  0.24607330  1.59892160
       74  0.24607330  1.51103396
       75  0.24607330  1.59892160
       76  0.24607330  1.51103396
       77  0.24607330  1.65753623
       78  0.25130890  1.51857664
       79  0.25130890  1.37518275
       80  0.25654450  1.61149118
       81  0.25654450  1.71316110
       82  0.25654450  1.75397742
       83  0.25654450  1.36926957
       84  0.25654450  2.00000000
       85  0.25130890  1.70845104
       86  0.25130890  1.31440015
       87  0.25654450  1.85627383
       88  0.25654450  1.85627383
       89  0.25654450  1.66771337
       90  0.25654450  1.85627383
       91  0.25654450  2.00000000
       92  0.25654450  1.85627383
       93  0.25654450  2.00000000
       94  0.25654450  2.00000000
       95  0.25654450  1.52586723
       96  0.25654450  2.00000000
       97  0.25654450  1.85627383
       98  0.25654450  1.85627383
       99  0.25654450  1.85627383
      100  0.24607330  0.45166526
      101  0.24607330  1.85145051
      102  0.24607330  1.70356837
      103  0.24607330  1.85145051
      104  0.24607330  1.85145051
      105  0.25654450  1.85627383
      106  0.25654450  1.85627383
      107  0.25130890  1.85390575
      108  0.25654450  2.00000000
      109  0.25654450  1.85627383
      110  0.25654450  1.85627383
      111  0.25654450  2.00000000
      112  0.25654450  2.00000000
      113  0.25654450  1.85627383
      114  0.25654450  1.85627383
      115  0.25654450  1.85627383
      116  0.25654450  1.85627383
      117  0.25654450  2.00000000
      118  0.25654450  1.85627383
      119  0.25654450  2.00000000
      120  0.25654450  1.85627383
      121  0.25654450  1.85627383
      122  0.25654450  1.75397742
      123  0.25654450  1.85627383
      124  0.25654450  2.00000000
      125  0.25654450  1.85627383
      126  0.25654450  2.00000000
      127  0.25654450  2.00000000
      128  0.25654450  1.85627383
      129  0.25654450  1.85627383
      130  0.25654450  1.85627383
      131  0.25130890  2.00000000
      132  0.25654450  1.85627383
      133  0.25654450  1.85627383
      134  0.25654450  2.00000000
      135  0.25654450  1.85627383
      136  0.24607330  2.00000000
      137  0.24607330  1.85145051
      138  0.24607330  1.85145051
      139  0.24607330  1.85145051
      140  0.24607330  1.85145051
      141  0.25654450  1.75397742
      142  0.25654450  1.71316110
      143  0.25654450  1.71316110
      144  0.25654450  1.85627383
      145  0.25654450  1.85627383
      146  0.25654450  1.61149118
      147  0.25654450  2.00000000
      148  0.25654450  2.00000000
      149  0.25654450  1.85627383
      150  0.25654450  1.85627383
      151  0.25654450  1.85627383
      152  0.25130890  1.85390575
      153  0.25130890  1.85390575
      154  0.25130890  1.85390575
      155  0.25130890  2.00000000
      156  0.25130890  1.85390575
      157  0.25654450  2.00000000
      158  0.25654450  2.00000000
      159  0.25654450  1.71316110
      160  0.25654450  1.85627383
      161  0.25654450  1.85627383
      162  0.25654450  1.85627383
      163  0.25654450  1.75397742
      164  0.25654450  1.85627383
      165  0.25654450  1.85627383
      166  0.25654450  1.85627383
      167  0.01047120  1.00000000
      168  0.25654450  1.85627383
      169  0.25654450  1.85627383
      170  0.25654450  1.85627383
      171  0.25654450  1.26919050
      172  0.25654450  1.75397742
      173  0.25654450  1.75397742
      174  0.25654450  1.75397742
      175  0.24083770  2.00000000
      176  0.24083770  1.38474611
      177  0.25654450  1.85627383
      178  0.25654450  1.71316110
      179  0.25654450  2.00000000
      180  0.25654450  1.85627383
      181  0.25654450  2.00000000
      182  0.25654450  1.85627383
      183  0.25654450  2.00000000
      184  0.25654450  1.85627383
      185  0.25654450  1.85627383
      186  0.25654450  1.85627383
      187  0.25654450  1.13077196
      188  0.25654450  1.85627383
      189  0.25654450  1.66771337
      190  0.25654450  1.85627383
      191  0.25654450  1.52456835
      192  0.25654450  1.61149118
      193  0.26178010  1.47063913
      194  0.26178010  1.67255508
      195  0.26178010  1.75770781
      196  0.26178010  1.71770781
      197  0.26178010  1.71770781
      198  0.26178010  1.85855946
      199  0.26178010  1.67255508
      200  0.26178010  1.41576119
      201  0.26178010  1.53100441
      202  0.00523560  2.00000000
      203  0.00523560  2.00000000
      204  0.00523560  2.00000000
      205  0.00523560  2.00000000
      206  0.00523560  2.00000000
      207  0.00523560  2.00000000
      208  0.00523560  2.00000000
      209  0.00523560  2.00000000
      210  0.00523560  2.00000000
      211  0.00523560  2.00000000
      212  0.00523560  2.00000000
      213  0.00523560  2.00000000
      214  0.00523560  2.00000000
      215  0.00523560  2.00000000
      216  0.00523560  2.00000000
      217  0.00523560  2.00000000
      218  0.00523560  2.00000000
      219  0.00523560  2.00000000
      220  0.00523560  2.00000000
      221  0.00523560  2.00000000
      222  0.00523560  2.00000000
      223  0.00523560  2.00000000
      224  0.00523560  2.00000000
      225  0.00523560  2.00000000
      226  0.00523560  2.00000000
      227  0.00523560  2.00000000
      228  0.00523560  2.00000000
      229  0.00523560  2.00000000
      230  0.00523560  2.00000000
      231  0.00523560  2.00000000
      232  0.00523560  2.00000000
      233  0.00523560  2.00000000
      234  0.00523560  2.00000000
      235  0.00523560  2.00000000
      236  0.00523560  2.00000000
      237  0.00523560  2.00000000
      238  0.00523560  2.00000000
      239  0.00523560  2.00000000
      240  0.00523560  2.00000000
      241  0.00523560  2.00000000
      242  0.00523560  2.00000000
      243  0.00523560  2.00000000
      244  0.00523560  2.00000000
      245  0.00523560  2.00000000
      246  0.00523560  2.00000000
      247  0.00523560  2.00000000
      248  0.00523560  2.00000000
      249  0.00523560  2.00000000
      250  0.00523560  2.00000000
      251  0.00523560  2.00000000
      252  0.00523560  2.00000000
      253  0.00523560  2.00000000
      254  0.00523560  2.00000000
      255  0.00523560  2.00000000
      256  0.00523560  2.00000000
      257  0.00523560  2.00000000
      258  0.00523560  2.00000000
      259  0.00523560  2.00000000
      260  0.00523560  2.00000000
      261  0.00523560  2.00000000
      262  0.00523560  2.00000000
      263  0.00523560  2.00000000
      264  0.00523560  2.00000000
      265  0.00523560  2.00000000
      266  0.00523560  2.00000000
      267  0.00523560  2.00000000
      268  0.02094241  1.18872188
      269  0.02094241  2.00000000
      270  0.02094241  1.18872188
      271  0.02094241  2.00000000
      272  0.02094241  2.00000000
      273  0.02094241  0.50000000
      274  0.02094241  1.18872188
      275  0.02094241  1.18872188
      276  0.02094241  1.18872188
      277  0.02094241  0.50000000
      278  0.02094241  2.00000000
      279  0.02094241  1.18872188
      280  0.02094241  1.18872188
      281  0.02094241  1.18872188
      282  0.02094241  1.18872188
      283  0.02094241  1.18872188
      284  0.02094241  2.00000000
      285  0.02094241  1.18872188
      286  0.02094241  1.18872188
      287  0.02094241  2.00000000
      288  0.02094241  1.00000000
      289  0.02094241  1.18872188
      290  0.02094241  1.18872188
      291  0.02094241  2.00000000
      292  0.02094241  2.00000000
      293  0.02094241  2.00000000
      294  0.02094241  1.18872188
      295  0.02094241  1.18872188
      296  0.02094241  1.18872188
      297  0.02094241  1.18872188
      298  0.24083770  1.10754426
      299  0.24083770  1.23482009
      300  0.24083770  1.39849282
      301  0.24083770  1.65218309
      302  0.24083770  1.84890303
      303  0.24083770  2.00000000
      304  0.24083770  1.50322542
      305  0.24083770  1.65218309
      306  0.25654450  1.03084141
      307  0.26178010  1.45881160
      308  0.26701571  1.24778783
      309  0.27225131  1.47390021
      310  0.27225131  1.23378180
      311  0.27225131  1.43003862
      312  0.27748691  1.49048428
      313  0.28272251  0.91699860
      314  0.28272251  1.05461953
      315  0.28272251  1.17501974
      316  0.28272251  0.89604280
      317  0.28272251  1.42451695
      318  0.27748691  1.63420803
      319  0.27748691  1.25726806
      320  0.27748691  1.19628408
      321  0.27748691  0.93577065
      322  0.10994764  0.83421595
      323  0.10994764  1.29753345
      324  0.27225131  1.25558682
      325  0.27225131  1.54331637
      326  0.27225131  1.47390021
      327  0.27225131  1.62880610
      328  0.27225131  1.07064499
      329  0.27225131  0.51532746
      330  0.27225131  1.29699251
      331  0.27225131  1.36866845
      332  0.27225131  1.31384932
      333  0.27225131  1.31384932
      334  0.27225131  1.44995573
      335  0.27225131  1.48405307
      336  0.27225131  1.54331637
      337  0.27225131  1.60875644
      338  0.26178010  1.61745733
      339  0.26701571  1.53974257
      340  0.26178010  1.85855946
      341  0.26701571  1.53974257
      342  0.26701571  1.53974257
      343  0.26701571  1.86076700
      344  0.26701571  1.72209980
      345  0.26701571  1.48572517
      346  0.26701571  1.86076700
      347  0.26701571  1.76131549
      348  0.26178010  1.67255508
      349  0.26178010  2.00000000
      350  0.62827225  2.00000000
      351  0.66492147  1.88315024
      352  0.70157068  1.04153742
      353  0.70157068  1.05270941
      354  0.67539267  0.79526939
      355  0.67539267  0.98194686
      356  0.68586387  1.57116814
      357  0.70157068  1.03646402
      358  0.70157068  1.93654188
      359  0.70157068  0.92511635
      360  0.70157068  0.96686660
      361  0.70157068  1.31198855
      362  0.70157068  1.65270068
      363  0.70157068  1.93654188
      364  0.70157068  1.93654188
      365  0.69109948  1.84350894
      366  0.69109948  0.91288571
      367  0.69109948  1.73074105
      368  0.69109948  1.44812587
      369  0.24607330  2.00000000
      370  0.24607330  1.09654644
      371  0.26178010  1.85855946
      372  0.25654450  2.00000000
      373  0.26178010  2.00000000
      374  0.26178010  2.00000000
      375  0.26178010  1.61745733
      376  0.26178010  1.85855946
      377  0.26178010  2.00000000
      378  0.26178010  2.00000000
      379  0.26178010  1.71770781
      380  0.26178010  2.00000000
      381  0.26178010  2.00000000
      382  0.25130890  1.85390575
      383  0.26178010  1.85855946
      384  0.26178010  1.61745733
      385  0.26178010  1.61745733
      386  0.26178010  1.85855946
      387  0.26178010  1.85855946
      388  0.26178010  2.00000000
      389  0.23560209  1.64664066
      390  0.24083770  1.84890303
      391  0.25130890  1.75011771
      392  0.25130890  1.60531644
      393  0.25130890  1.60531644
      394  0.25130890  1.34164858
      395  0.25130890  1.51857664
      396  0.26178010  1.85855946
      397  0.26178010  1.85855946
      398  0.26178010  1.85855946
      399  0.26178010  2.00000000
      400  0.26178010  2.00000000
      401  0.26178010  1.04895434
      402  0.26178010  0.97888081
      403  0.26178010  1.17325363
      404  0.26178010  1.85855946
      405  0.26178010  1.85855946
      406  0.26178010  1.09561854
      407  0.25654450  2.00000000
      408  0.14136126  1.77146186
      409  0.00523560  2.00000000
      410  0.00523560  2.00000000
      411  0.00523560  2.00000000
      412  0.00523560  2.00000000
      413  0.00523560  2.00000000
      414  0.00523560  2.00000000
      415  0.00523560  2.00000000
      416  0.00523560  2.00000000
      417  0.00523560  2.00000000
      418  0.00523560  2.00000000
      419  0.00523560  2.00000000
      420  0.00523560  2.00000000
      421  0.00523560  2.00000000
      422  0.00523560  2.00000000
      423  0.00523560  2.00000000
      424  0.00523560  2.00000000
      425  0.00523560  2.00000000
      426  0.00523560  2.00000000
      427  0.00523560  2.00000000
      428  0.00523560  2.00000000
      429  0.26178010  1.85855946
      430  0.25654450  1.59209402
      431  0.25654450  1.85627383
      432  0.26178010  1.53291856
      433  0.26701571  1.67724304
      434  0.26701571  1.62322564
      435  0.26701571  1.52494085
      436  0.26701571  1.86076700
      437  0.26701571  1.05023134
      438  0.26701571  1.86076700
      439  0.26701571  1.86076700
      440  0.26701571  1.86076700
      441  0.26701571  2.00000000
      442  0.26701571  2.00000000
      443  0.25654450  1.71316110
      444  0.27225131  1.76480662
      445  0.27225131  1.86290052
      446  0.27225131  1.37809586
      447  0.27225131  1.03387633
      448  0.27225131  1.86290052
      449  0.27225131  2.00000000
      450  0.27225131  2.00000000
      451  0.27225131  2.00000000
      452  0.27225131  2.00000000
      453  0.27225131  2.00000000
      454  0.27225131  2.00000000
      455  0.28272251  1.86696035
      456  0.28795812  2.00000000
      457  0.28795812  2.00000000
      458  0.29319372  1.77771517
      459  0.29319372  2.00000000
      460  0.29842932  2.00000000
      461  0.30366492  2.00000000
      462  0.30890052  0.74702198
      463  0.31937173  1.79181905
      464  0.32460733  1.72049445
      465  0.34031414  1.10950836
      466  0.34554974  1.56050301
