# Information content per column (bits):
# Alignment file: alignment.aln
# Alignment idx:  1
# Number of sequences: 15
# Sequence weights from alignment were ignored (if they existed).
#
#  alnpos  freqnongap  info(bits)
# -------  ----------  ----------
        1  1.00000000  1.64664066
        2  1.00000000  0.72709440
        3  1.00000000  0.46708544
        4  1.00000000  1.30015716
        5  0.73333333  1.31596156
        6  0.73333333  1.15464906
        7  1.00000000  1.16335926
        8  1.00000000  1.16335926
        9  1.00000000  1.64664066
       10  1.00000000  1.64664066
       11  1.00000000  1.43349049
       12  1.00000000  0.96107940
       13  1.00000000  1.43349049
       14  1.00000000  1.27807191
       15  0.73333333  1.15464906
       16  0.73333333  0.65141210
       17  0.73333333  0.90420474
       18  0.73333333  1.31596156
       19  0.73333333  2.00000000
       20  0.40000000  0.54085208
       21  0.60000000  0.34225727
       22  1.00000000  0.06708544
       23  1.00000000  2.00000000
       24  1.00000000  1.00320837
       25  1.00000000  1.30015716
       26  1.00000000  2.00000000
       27  1.00000000  0.72709440
       28  1.00000000  1.09441274
       29  1.00000000  2.00000000
       30  1.00000000  1.64664066
       31  1.00000000  0.96107940
       32  1.00000000  0.94701842
       33  1.00000000  0.94701842
       34  0.26666667  1.18872188
       35  0.20000000  0.41503750
       36  1.00000000  2.00000000
       37  1.00000000  0.57052670
       38  1.00000000  0.43440377
       39  1.00000000  1.30015716
       40  0.86666667  1.38061781
       41  0.93333333  1.62876767
       42  0.93333333  1.62876767
       43  0.93333333  0.44334329
       44  0.93333333  0.19079997
       45  0.93333333  1.62876767
       46  0.93333333  1.62876767
       47  0.93333333  1.62876767
       48  0.93333333  1.25040474
       49  0.93333333  0.91076992
       50  0.93333333  0.42558257
       51  0.93333333  1.40832722
       52  0.93333333  0.85116515
       53  0.93333333  0.70416361
       54  0.93333333  0.70416361
       55  0.86666667  0.53951532
       56  1.00000000  1.43349049
       57  1.00000000  2.00000000
       58  1.00000000  2.00000000
       59  1.00000000  0.94701842
       60  1.00000000  1.09441274
       61  1.00000000  1.09441274
       62  1.00000000  1.43349049
       63  1.00000000  2.00000000
       64  1.00000000  2.00000000
       65  1.00000000  1.64664066
       66  1.00000000  1.64664066
       67  1.00000000  1.30015716
       68  0.93333333  1.05362706
       69  1.00000000  2.00000000
       70  1.00000000  1.64664066
       71  1.00000000  1.30015716
       72  1.00000000  1.43349049
       73  1.00000000  0.62904941
       74  1.00000000  1.64664066
       75  1.00000000  2.00000000
       76  1.00000000  1.43349049
       77  1.00000000  1.16335926
       78  1.00000000  1.30015716
       79  1.00000000  1.43349049
       80  1.00000000  1.08170417
       81  1.00000000  2.00000000
       82  1.00000000  2.00000000
       83  1.00000000  1.09441274
       84  1.00000000  1.08170417
       85  1.00000000  2.00000000
       86  1.00000000  1.64664066
       87  1.00000000  2.00000000
       88  1.00000000  1.64664066
       89  1.00000000  1.43349049
       90  1.00000000  1.09441274
       91  0.86666667  1.00427255
       92  1.00000000  1.64664066
       93  1.00000000  1.64664066
       94  1.00000000  2.00000000
       95  1.00000000  1.64664066
       96  1.00000000  2.00000000
       97  1.00000000  1.64664066
       98  1.00000000  2.00000000
       99  1.00000000  2.00000000
      100  1.00000000  1.64664066
      101  1.00000000  2.00000000
      102  1.00000000  1.64664066
      103  1.00000000  2.00000000
      104  1.00000000  2.00000000
      105  0.86666667  1.60875644
      106  1.00000000  2.00000000
      107  0.40000000  2.00000000
      108  0.86666667  1.38061781
      109  0.86666667  1.60875644
      110  1.00000000  2.00000000
      111  1.00000000  1.30015716
      112  1.00000000  1.30015716
      113  1.00000000  1.27807191
      114  1.00000000  1.43349049
      115  1.00000000  1.30015716
      116  1.00000000  1.43349049
      117  0.93333333  1.05362706
      118  1.00000000  1.30015716
      119  1.00000000  1.43349049
      120  1.00000000  0.75805397
      121  1.00000000  1.16335926
      122  1.00000000  1.64664066
      123  1.00000000  1.43349049
      124  1.00000000  1.64664066
      125  1.00000000  2.00000000
      126  0.93333333  2.00000000
      127  0.13333333  2.00000000
      128  0.20000000  1.08170417
      129  0.33333333  0.47807191
      130  1.00000000  0.76904044
      131  1.00000000  0.31051773
      132  1.00000000  1.43349049
      133  1.00000000  2.00000000
      134  1.00000000  2.00000000
      135  0.26666667  1.18872188
      136  1.00000000  1.64664066
      137  1.00000000  1.09441274
      138  1.00000000  1.09441274
      139  1.00000000  1.64664066
      140  1.00000000  1.64664066
      141  1.00000000  0.76335926
      142  1.00000000  0.57052670
      143  1.00000000  1.30015716
      144  0.86666667  2.00000000
      145  0.86666667  2.00000000
      146  0.86666667  0.64796990
      147  0.13333333  1.00000000
      148  0.93333333  0.70830800
      149  0.93333333  1.26547008
      150  1.00000000  1.30015716
      151  1.00000000  0.94701842
      152  1.00000000  1.27807191
      153  1.00000000  1.43349049
      154  1.00000000  1.09441274
      155  0.13333333  2.00000000
      156  0.80000000  0.71932787
      157  0.80000000  0.95914792
      158  0.80000000  0.74837083
      159  0.80000000  1.08170417
      160  0.80000000  1.34997758
      161  0.73333333  0.65141210
      162  0.73333333  1.05433970
      163  0.66666667  0.70453816
      164  0.73333333  1.56050301
      165  0.73333333  0.50888515
      166  1.00000000  1.02904941
      167  1.00000000  1.64664066
      168  1.00000000  0.19376107
      169  1.00000000  0.96107940
      170  1.00000000  1.09441274
      171  0.93333333  1.26547008
      172  0.93333333  2.00000000
      173  0.93333333  1.01477186
      174  0.93333333  2.00000000
      175  0.93333333  0.42558257
      176  0.93333333  1.25040474
      177  0.93333333  2.00000000
      178  0.93333333  1.05362706
      179  1.00000000  1.64664066
      180  1.00000000  0.62472063
      181  1.00000000  1.43349049
      182  1.00000000  0.76904044
      183  1.00000000  1.64664066
      184  0.13333333  2.00000000
      185  1.00000000  1.27807191
      186  1.00000000  2.00000000
      187  1.00000000  1.64664066
      188  1.00000000  0.52839774
      189  1.00000000  1.08170417
      190  1.00000000  1.64664066
      191  1.00000000  1.16335926
      192  1.00000000  0.76904044
      193  1.00000000  2.00000000
      194  1.00000000  1.08170417
